season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,status,exit_week,exit_week_inferred,week,judge_total,num_judges,zero_placeholder,active
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,finalist,6,1,1,20.0,3,0,1
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,finalist,6,1,1,13.0,3,0,1
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,eliminated,3,0,1,18.0,3,0,1
1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,eliminated,4,0,1,20.0,3,0,1
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,finalist,6,1,1,20.0,3,0,1
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,eliminated,2,0,1,18.0,3,0,1
2,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,eliminated,2,0,1,23.0,3,0,1
2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,eliminated,5,0,1,20.0,3,0,1
2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,eliminated,6,0,1,18.0,3,0,1
2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,eliminated,7,0,1,19.0,3,0,1
2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,finalist,8,1,1,22.0,3,0,1
2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,finalist,8,1,1,21.0,3,0,1
2,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,eliminated,3,0,1,23.0,3,0,1
2,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,eliminated,4,0,1,12.0,3,0,1
2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,finalist,8,1,1,24.0,3,0,1
2,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,eliminated,1,0,1,13.0,3,0,1
3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,eliminated,3,0,1,17.0,3,0,1
3,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,eliminated,4,0,1,22.0,3,0,1
3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,eliminated,8,0,1,19.0,3,0,1
3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,finalist,10,1,1,21.0,3,0,1
3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,finalist,10,1,1,26.0,3,0,1
3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,finalist,10,1,1,24.0,3,0,1
3,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,eliminated,2,0,1,18.0,3,0,1
